Features: 16,,,,,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,95.45454545,209
"Nu: 0.99, Gamma: 0.0002",2,0,6,13,71.42857143,0,40,,,
"Nu: 0.99, Gamma: 0.0003",2,0,6,13,71.42857143,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,2,0,19,90.47619048,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,2,0,19,90.47619048,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,2,0,19,90.47619048,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,2,0,19,90.47619048,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,2,0,19,90.47619048,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,2,0,19,90.47619048,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,2,0,19,90.47619048,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,2,0,19,90.47619048,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,2,0,19,90.47619048,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,2,0,19,90.47619048,0,40,,,
,,,,,,,,,,
Target Class: blackscholes_cachehalf,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.05",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.1",1,1,4,16,77.27272727,0,40,,,
"Nu: 0.0001, Gamma: 0.2",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.5",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.7",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.9",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.99",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.05",1,1,6,14,68.18181818,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",1,1,5,15,72.72727273,0,40,,,
"Nu: 0.0002, Gamma: 0.1",1,1,4,16,77.27272727,0,40,,,
"Nu: 0.0002, Gamma: 0.2",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.5",0,2,1,19,86.36363636,0,40,,,
"Nu: 0.0002, Gamma: 0.7",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.9",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.99",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.05",1,1,6,14,68.18181818,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",1,1,5,15,72.72727273,0,40,,,
"Nu: 0.0003, Gamma: 0.1",1,1,4,16,77.27272727,0,40,,,
"Nu: 0.0003, Gamma: 0.2",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.5",1,1,0,20,95.45454545,0,40,,,
"Nu: 0.0003, Gamma: 0.7",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.9",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.99",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.005",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.05",1,1,6,14,68.18181818,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",1,1,5,15,72.72727273,0,40,,,
"Nu: 0.0004, Gamma: 0.1",1,1,4,16,77.27272727,0,40,,,
"Nu: 0.0004, Gamma: 0.2",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.5",1,1,0,20,95.45454545,0,40,,,
"Nu: 0.0004, Gamma: 0.7",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.9",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.99",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.005, Gamma: 0.0003",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.005, Gamma: 0.0004",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.005, Gamma: 0.005",1,1,7,13,63.63636364,0,40,,,
"Nu: 0.005, Gamma: 0.05",2,0,20,0,9.090909091,0,40,,,
"Nu: 0.005, Gamma: 0.0625",2,0,20,0,9.090909091,0,40,,,
"Nu: 0.005, Gamma: 0.1",2,0,17,3,22.72727273,0,40,,,
"Nu: 0.005, Gamma: 0.2",2,0,15,5,31.81818182,0,40,,,
"Nu: 0.005, Gamma: 0.5",2,0,13,7,40.90909091,0,40,,,
"Nu: 0.005, Gamma: 0.7",2,0,13,7,40.90909091,0,40,,,
"Nu: 0.005, Gamma: 0.9",2,0,12,8,45.45454545,0,40,,,
"Nu: 0.005, Gamma: 0.99",1,1,14,6,31.81818182,0,40,,,
"Nu: 0.05, Gamma: 0.0001",1,1,7,13,63.63636364,0,40,,,
"Nu: 0.05, Gamma: 0.0002",1,1,7,13,63.63636364,0,40,,,
"Nu: 0.05, Gamma: 0.0003",1,1,7,13,63.63636364,0,40,,,
"Nu: 0.05, Gamma: 0.0004",1,1,7,13,63.63636364,0,40,,,
"Nu: 0.05, Gamma: 0.005",2,0,20,0,9.090909091,0,40,,,
"Nu: 0.05, Gamma: 0.05",2,0,20,0,9.090909091,0,40,,,
"Nu: 0.05, Gamma: 0.0625",2,0,20,0,9.090909091,0,40,,,
"Nu: 0.05, Gamma: 0.1",2,0,17,3,22.72727273,0,40,,,
"Nu: 0.05, Gamma: 0.2",2,0,14,6,36.36363636,0,40,,,
"Nu: 0.05, Gamma: 0.5",2,0,13,7,40.90909091,0,40,,,
"Nu: 0.05, Gamma: 0.7",2,0,13,7,40.90909091,0,40,,,
"Nu: 0.05, Gamma: 0.9",2,0,13,7,40.90909091,0,40,,,
"Nu: 0.05, Gamma: 0.99",1,1,14,6,31.81818182,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",2,0,8,12,63.63636364,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",2,0,8,12,63.63636364,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",2,0,8,12,63.63636364,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",2,0,8,12,63.63636364,0,40,,,
"Nu: 0.0625, Gamma: 0.005",2,0,19,1,13.63636364,0,40,,,
"Nu: 0.0625, Gamma: 0.05",2,0,20,0,9.090909091,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",2,0,20,0,9.090909091,0,40,,,
"Nu: 0.0625, Gamma: 0.1",2,0,17,3,22.72727273,0,40,,,
"Nu: 0.0625, Gamma: 0.2",2,0,14,6,36.36363636,0,40,,,
"Nu: 0.0625, Gamma: 0.5",2,0,13,7,40.90909091,0,40,,,
"Nu: 0.0625, Gamma: 0.7",2,0,14,6,36.36363636,0,40,,,
"Nu: 0.0625, Gamma: 0.9",2,0,14,6,36.36363636,0,40,,,
"Nu: 0.0625, Gamma: 0.99",1,1,14,6,31.81818182,0,40,,,
"Nu: 0.1, Gamma: 0.0001",2,0,8,12,63.63636364,0,40,,,
"Nu: 0.1, Gamma: 0.0002",2,0,8,12,63.63636364,0,40,,,
"Nu: 0.1, Gamma: 0.0003",2,0,8,12,63.63636364,0,40,,,
"Nu: 0.1, Gamma: 0.0004",2,0,8,12,63.63636364,0,40,,,
"Nu: 0.1, Gamma: 0.005",2,0,20,0,9.090909091,0,40,,,
"Nu: 0.1, Gamma: 0.05",2,0,20,0,9.090909091,0,40,,,
"Nu: 0.1, Gamma: 0.0625",2,0,20,0,9.090909091,0,40,,,
"Nu: 0.1, Gamma: 0.1",2,0,17,3,22.72727273,0,40,,,
"Nu: 0.1, Gamma: 0.2",2,0,15,5,31.81818182,0,40,,,
"Nu: 0.1, Gamma: 0.5",2,0,14,6,36.36363636,0,40,,,
"Nu: 0.1, Gamma: 0.7",2,0,13,7,40.90909091,0,40,,,
"Nu: 0.1, Gamma: 0.9",2,0,13,7,40.90909091,0,40,,,
"Nu: 0.1, Gamma: 0.99",1,1,14,6,31.81818182,0,40,,,
"Nu: 0.2, Gamma: 0.0001",1,1,3,17,81.81818182,0,40,,,
"Nu: 0.2, Gamma: 0.0002",1,1,3,17,81.81818182,0,40,,,
"Nu: 0.2, Gamma: 0.0003",1,1,3,17,81.81818182,0,40,,,
"Nu: 0.2, Gamma: 0.0004",1,1,3,17,81.81818182,0,40,,,
"Nu: 0.2, Gamma: 0.005",2,0,17,3,22.72727273,0,40,,,
"Nu: 0.2, Gamma: 0.05",2,0,17,3,22.72727273,0,40,,,
"Nu: 0.2, Gamma: 0.0625",2,0,17,3,22.72727273,0,40,,,
"Nu: 0.2, Gamma: 0.1",2,0,16,4,27.27272727,0,40,,,
"Nu: 0.2, Gamma: 0.2",2,0,13,7,40.90909091,0,40,,,
"Nu: 0.2, Gamma: 0.5",2,0,14,6,36.36363636,0,40,,,
"Nu: 0.2, Gamma: 0.7",2,0,14,6,36.36363636,0,40,,,
"Nu: 0.2, Gamma: 0.9",2,0,13,7,40.90909091,0,40,,,
"Nu: 0.2, Gamma: 0.99",1,1,13,7,36.36363636,0,40,,,
"Nu: 0.5, Gamma: 0.0001",2,0,2,18,90.90909091,0,40,,,
"Nu: 0.5, Gamma: 0.0002",2,0,2,18,90.90909091,0,40,,,
"Nu: 0.5, Gamma: 0.0003",2,0,2,18,90.90909091,0,40,,,
"Nu: 0.5, Gamma: 0.0004",2,0,9,11,59.09090909,0,40,,,
"Nu: 0.5, Gamma: 0.005",2,0,9,11,59.09090909,0,40,,,
"Nu: 0.5, Gamma: 0.05",2,0,11,9,50,0,40,,,
"Nu: 0.5, Gamma: 0.0625",2,0,11,9,50,0,40,,,
"Nu: 0.5, Gamma: 0.1",2,0,11,9,50,0,40,,,
"Nu: 0.5, Gamma: 0.2",1,1,11,9,45.45454545,0,40,,,
"Nu: 0.5, Gamma: 0.5",1,1,10,10,50,0,40,,,
"Nu: 0.5, Gamma: 0.7",1,1,9,11,54.54545455,0,40,,,
"Nu: 0.5, Gamma: 0.9",1,1,8,12,59.09090909,0,40,,,
"Nu: 0.5, Gamma: 0.99",1,1,12,8,40.90909091,0,40,,,
"Nu: 0.7, Gamma: 0.0001",1,1,0,20,95.45454545,0,40,,,
"Nu: 0.7, Gamma: 0.0002",1,1,0,20,95.45454545,0,40,,,
"Nu: 0.7, Gamma: 0.0003",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.7, Gamma: 0.0004",2,0,9,11,59.09090909,0,40,,,
"Nu: 0.7, Gamma: 0.005",2,0,5,15,77.27272727,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,1,5,15,72.72727273,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,1,5,15,72.72727273,0,40,,,
"Nu: 0.7, Gamma: 0.1",1,1,5,15,72.72727273,0,40,,,
"Nu: 0.7, Gamma: 0.2",1,1,5,15,72.72727273,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,1,7,13,63.63636364,0,40,,,
"Nu: 0.7, Gamma: 0.7",1,1,6,14,68.18181818,0,40,,,
"Nu: 0.7, Gamma: 0.9",0,2,4,16,72.72727273,0,40,,,
"Nu: 0.7, Gamma: 0.99",0,2,4,16,72.72727273,0,40,,,
"Nu: 0.9, Gamma: 0.0001",1,1,11,9,45.45454545,0,40,,,
"Nu: 0.9, Gamma: 0.0002",1,1,11,9,45.45454545,0,40,,,
"Nu: 0.9, Gamma: 0.0003",1,1,11,9,45.45454545,0,40,,,
"Nu: 0.9, Gamma: 0.0004",1,1,2,18,86.36363636,0,40,,,
"Nu: 0.9, Gamma: 0.005",1,1,2,18,86.36363636,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,1,1,19,90.90909091,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,1,1,19,90.90909091,0,40,,,
"Nu: 0.9, Gamma: 0.1",1,1,1,19,90.90909091,0,40,,,
"Nu: 0.9, Gamma: 0.2",1,1,1,19,90.90909091,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,2,2,18,81.81818182,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,2,2,18,81.81818182,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.0001",1,1,2,18,86.36363636,0,40,,,
"Nu: 0.99, Gamma: 0.0002",1,1,2,18,86.36363636,0,40,,,
"Nu: 0.99, Gamma: 0.0003",1,1,2,18,86.36363636,0,40,,,
"Nu: 0.99, Gamma: 0.0004",1,1,2,18,86.36363636,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,2,0,20,90.90909091,0,40,,,
